Features,BNC,Bog_T0,III_Bog_N1,III_Bog_N2,II_Bog_N1,II_Bog_N2,I_Bog_N1,I_Bog_N2
FT0039,0.0,5.963406549586997,6.168954315379483,6.185197110257109,6.043046633100812,6.016563055786848,5.931966974920721,6.187020073307745
FT0473,7.6951265246253024,3.8381343973094664,6.275135765190557,6.370515422186555,6.761376727035268,6.706847184812118,6.846109210224886,6.831936995426746
FT0583,5.795056501286005,0.0,0.0,3.5716280115601604,0.0,3.551233817885739,4.7374288121340795,4.982104670571758
FT0591,4.854318758703749,0.0,6.185513446281635,6.370765345944672,5.9736511014463085,5.7683093225150746,4.336158741183259,4.285013455049343
FT0628,6.194673263920968,0.0,5.608194531491451,5.718718620975903,5.681071222214985,5.647269145113764,5.988814170701544,6.1063194356909545
FT0645,6.210362250016245,3.590254180334542,0.0,0.0,0.0,0.0,2.852783823895855,4.189719637748498
FT0654,6.190433229625256,6.010038868330095,5.961032972117978,5.655481100874841,5.668078713128631,3.645742827773745,5.77296774355084,3.597893957638747
FT0742,6.165961580618424,0.0,5.156717724159825,5.186014780654074,5.557320725656817,5.720822165912394,5.606125557408993,5.479146777356247
FT0748,6.2313427944071815,4.294175556317582,4.240252227221778,3.4260352349527055,3.8627955223781214,3.6615293135523013,0.0,4.321381560740283
FT0756,6.646980748979612,0.0,3.4471849563237584,3.46170684848495,0.0,3.262707497779302,4.282507398281005,4.78246583169968
FT0759,5.9683338008249445,0.0,0.0,0.0,0.0,0.0,3.4324308339078096,3.6908471517465116
FT0793,0.0,6.076529096879436,5.791090138509174,5.16514491814606,3.8742394504398683,0.0,6.128881777156782,0.0
FT0817,6.174095796956015,5.269358946919308,0.0,3.4609169444924253,3.7210565546765895,3.5909224945460396,5.471568380208432,5.4620280791011195
FT0865,6.2102666013106065,3.321265907961749,0.0,3.5230873686491866,3.796305330989318,6.088978539001771,5.060116550340975,0.0
FT0918,5.486976166064209,6.428963616973627,3.5837912146785054,0.0,0.0,5.272150094890671,0.0,5.113051877148221
FT0954,5.973527021901295,3.4176796259888422,4.143643644328912,4.433639588295451,4.079925392592007,6.648577833357473,4.511930444997228,4.522642998863602
FT0981,0.0,4.42842285875835,0.0,0.0,5.734801945580879,3.2255992865532574,5.922116217678159,5.744750731670317
FT0997,0.0,4.8815106811382165,6.663294177846988,6.824037287981376,5.554468103078756,5.4847411737588,4.960882077362712,4.935700135174099
FT1049,0.0,5.222118314318823,5.768409199678395,5.558565771679141,5.441444409871123,5.2405944711566494,5.067380596594635,5.530514464894691
FT1091,7.586230013253614,3.5864524916773597,6.3250475756262805,6.438124148011689,6.548737346941233,6.709997245487276,6.676249848495335,6.754207136826781
FT1100,5.838380811539977,0.0,0.0,0.0,0.0,5.245125000151364,0.0,3.5023799299446927
FT1121,5.767184316632351,3.198553485722736,0.0,3.796784495949399,3.330817367975169,0.0,0.0,0.0
FT1139,7.525655793069391,6.000348460077935,5.203809126018477,3.481587508699132,3.602321143096556,5.282632307037172,6.158438879237002,0.0
FT1185,0.0,5.523147486830937,5.820659271540653,5.540068233008961,5.276780851714866,5.14147488221271,4.653269465277852,5.201204874738169
FT1187,6.905080275729135,3.922430107908891,3.8879928227107303,3.9220402440202218,4.3991172931626386,4.693390222994437,4.727971532096661,4.0334482957572115
FT1218,6.3459867153720895,5.377282468254752,4.135888773635335,4.078090357989481,4.284940901694806,6.403697448856217,3.835641645915583,3.9991049964180734
FT1220,5.93174612484866,3.315043560730225,0.0,0.0,0.0,3.2749651228852494,0.0,3.5759465091880656
FT1234,6.3500764048961305,3.4694714888566502,3.565826016318833,0.0,3.650805938965673,6.20256334042455,0.0,0.0
FT1249,5.8299223300599134,0.0,0.0,0.0,3.425199719443937,0.0,0.0,3.7805614068483404
FT1262,5.626936576520256,3.5217215336578573,6.267653926822829,6.473107317111004,6.577044701722955,6.097178331108824,6.607115819839428,6.572254686389348
FT1280,6.074018355407145,0.0,2.6816654379415845,0.0,0.0,3.097720957933236,0.0,0.0
FT1298,6.2193000217825425,0.0,3.453696505488969,0.0,3.631731411171116,5.647076652936282,0.0,0.0
FT1310,5.681950731617542,2.9220086308148345,0.0,0.0,3.083074284053262,0.0,0.0,0.0
FT1311,6.041151499211226,4.779043408616239,4.049733091427755,3.7174750159462593,2.70183195558716,3.6527153146988907,0.0,4.044403908815751
FT1319,6.050504259284952,0.0,3.3671548798887043,3.6652995058718454,3.4177455421557683,6.137182457213342,0.0,3.5062054873108255
FT1356,5.839035353212271,2.8588497158914574,3.2700629784611333,3.410526855271645,3.508456749484095,3.2647994921110834,0.0,0.0
FT1388,5.9967685888690685,0.0,3.3681734230163474,3.6676170250499744,3.5680953640567727,3.4770427148475185,0.0,0.0
FT1402,5.967386699216133,3.3533568673362755,3.551411197150642,0.0,5.553178685278087,5.700660596856907,3.944566569500259,0.0
FT1409,5.995064451639745,0.0,2.8925495986802074,0.0,3.060736840497223,0.0,0.0,0.0
FT1421,6.604801801877264,5.38455082882602,3.2566830519944254,6.125975253497603,5.85576692970917,5.85432878877463,5.088599648194286,5.489460265614844
FT1440,6.263057931213237,0.0,0.0,3.3835324574439403,4.010961010608937,6.902887656690057,5.637982545972293,3.975648948798518
FT1455,6.62536451207556,2.857241238669455,3.343824577750563,0.0,3.521193882990987,5.469602093224102,3.589109424652393,3.68436412876848
FT1482,6.020067361530597,3.858828305659634,3.607565961561886,0.0,0.0,3.3454554268150916,0.0,0.0
FT1494,5.949450646834933,0.0,3.2128854339542228,0.0,0.0,0.0,0.0,0.0
FT1510,7.947155751520092,3.3472574447781716,5.306519284158186,3.1746623900522284,2.869170573411329,3.8821005421552046,3.2757433075360365,3.691200472325897
FT1513,5.999458003698426,6.022622959692902,0.0,3.4835251022131115,3.4407879611706114,3.7538371600135365,0.0,3.972913627314383
FT1522,5.868338391891722,6.1174921472558275,3.7889884884340694,0.0,0.0,0.0,3.818025383197794,3.584159706732242
FT1558,6.262854071229268,0.0,0.0,0.0,3.346313632653554,3.0269428035381223,0.0,2.9443558537701477
FT1599,5.90995920025925,3.515709715164331,0.0,0.0,0.0,3.46914068500148,0.0,0.0
FT1606,4.1083193281042085,0.0,3.9833012531107266,3.3478739786641145,5.155454534666519,6.46467383968604,3.6889156303427995,5.203682852139969
FT1609,5.882731734141924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT1628,5.769352736602525,0.0,3.7184316127814934,0.0,0.0,3.4891564164627398,0.0,0.0
FT1638,6.3503067467150025,0.0,5.302323979120866,6.009150011710913,0.0,5.239302270357417,5.683614397069262,5.618619575640893
FT1644,6.283192410380758,0.0,0.0,3.283468915222789,0.0,0.0,0.0,0.0
FT1652,6.002150331484727,0.0,5.617223732397134,5.404614891114824,5.486477356845901,5.230049022289718,5.19240816834387,5.201706476169687
FT1687,5.014319040776121,3.3862547002786254,4.285336642031339,6.167797166690713,6.32204392043325,6.097471257575711,4.034763211134633,4.379848325447465
FT1689,6.195620411839179,0.0,3.2753139245022305,3.5533134904917127,3.0243883403380085,3.509398713040911,3.4643950343077297,3.2818779977453
FT1706,5.914939233676437,4.966021381894773,3.708022284007524,0.0,0.0,4.653459554565432,5.275909621042944,5.319760496527993
FT1714,6.289614727391826,5.892446808821678,0.0,3.370303306717424,3.6674438581441993,0.0,0.0,3.2563245437337094
FT1723,6.115024944987399,3.095365382754129,3.3687825250566887,0.0,0.0,5.860473961897118,3.4955853407062794,3.3339901801822216
FT1763,5.422198136804739,6.267830377634914,6.0229998180735755,3.6987443189196525,5.801942454561088,0.0,3.873464075001633,4.063009690758258
FT1771,7.034069947113957,0.0,4.5409646185429136,4.210830182378393,3.5807547317681805,4.117638382755103,3.5494682022459285,4.475025300426696
FT1806,0.0,5.6434861504160105,5.3645358173227615,5.6412516761997855,5.336420529886935,5.982844219837136,4.709478008439992,4.9727095093387215
FT1834,5.854620200953919,0.0,0.0,0.0,0.0,5.097550168592376,0.0,0.0
FT1847,0.0,5.142490264174584,5.2706974783566976,5.325182894336615,5.432247245506224,5.378783628007134,5.3956235629520055,5.203332363132656
FT1876,6.7616509721884634,2.9267558284650015,0.0,0.0,2.732985928986501,3.099682555209636,0.0,3.463585643494358
FT1891,7.373316268349179,7.312997316755224,4.23526679866898,4.911238227234368,5.892304541434492,5.876727108713634,3.932272235192517,5.580030966033719
FT1893,5.914802214574264,5.395148613417062,3.4576131995783315,3.5715886423293957,0.0,6.730104890231693,3.5198054687641935,3.6464928603029385
FT1895,6.299712310140564,0.0,4.986740934919883,4.995311777459112,4.594944058879368,5.103698673556134,5.043942550950779,5.206244669831
FT1912,5.826953704901106,0.0,3.484579214957277,4.024101254285796,0.0,6.076483487051228,3.840819657067079,5.611592315590209
FT1918,5.958315165173807,0.0,3.2203549670667417,0.0,0.0,3.12186830812232,0.0,0.0
FT1920,6.355129252042855,0.0,0.0,0.0,0.0,0.0,3.097483228975314,0.0
FT1933,0.0,5.121653705876939,6.055960006121693,5.934220481657912,5.877135476972021,5.879994566416862,5.749560617201814,5.894205775840906
FT1955,5.36281460658801,3.651273885305219,0.0,0.0,5.502541314625291,5.57723745079128,3.606080996199664,5.898274241974091
FT1962,6.753513168843834,3.176448526033558,3.91173612710724,0.0,0.0,2.9670750937766135,0.0,2.7505405470151643
FT1970,5.948874104598477,3.467638894959848,0.0,0.0,0.0,0.0,3.70049141587087,0.0
FT1980,6.095890252233511,0.0,3.401869711442159,3.499391666523342,4.2561889916263915,6.022309284580891,4.3833141740401205,4.114866250357363
FT1983,0.0,4.9830426420154295,5.336109027417819,5.81046052274716,5.6788083142697685,5.217536980251426,4.215567079411886,4.024738446795469
FT1988,5.799331606782636,0.0,0.0,3.08652110755385,6.023702333178611,0.0,0.0,3.5588271693274014
FT1997,6.278990920690935,3.2385063645149446,0.0,0.0,3.519973649649469,3.633465598465947,3.319689443813095,2.8584961444476473
FT2009,5.564977996359093,0.0,0.0,0.0,0.0,3.105466268350928,3.0684345571563516,0.0
FT2010,6.725877435995369,0.0,3.1602701680206597,0.0,0.0,3.0976800718695077,0.0,0.0
