Features,BNC,Bog_T0,III_Bog_N1,III_Bog_N2,II_Bog_N1,II_Bog_N2,I_Bog_N1,I_Bog_N2
FT050,7.452493629381717,3.8457448949255637,6.349501680821337,6.370515422186555,6.7577827898669955,6.706847184812118,6.846109210224886,6.831936995426746
FT056,6.7566129816134435,0.0,6.157832143559995,6.109161178591453,6.102997409289801,6.100061435828214,6.004018328497371,6.074968708817454
FT068,6.639078468144446,0.0,3.4501570076596364,3.4646789346176408,0.0,3.2656789891004334,4.268447914100122,4.785438892275366
FT099,7.580938362991192,3.621763089615751,6.341432764554447,6.449304823293586,6.540655825457204,6.688573379385739,6.657739219248484,6.735765326507381
FT106,7.526662175315533,0.0,0.0,3.654829178647833,0.0,6.841935307057458,0.0,0.0
FT140,6.47430428439207,3.0777101363212545,0.0,0.0,0.0,0.0,2.812261072513689,0.0
FT142,6.617112753496975,2.845554496937544,0.0,0.0,0.0,2.8841520689070697,0.0,0.0
FT160,7.941222965407638,5.038975909253951,4.964788891000991,4.476129911872832,0.0,4.5733476954748795,4.183800082739979,4.886801927555981
FT164,7.3184228596880025,0.0,3.633615734421966,0.0,3.433554800524199,0.0,0.0,3.029297279448546
FT165,6.819855394873224,0.0,5.860065981010046,5.8443703274097665,5.502894471530216,5.514990291856856,5.532056004540876,5.605919256259544
FT168,6.1793219684236815,0.0,4.354147673775389,3.6887439664033144,3.999593350244545,3.969561549001587,3.535665879747008,3.7894271714374645
FT176,6.277319429175749,0.0,3.630899968597595,2.965874568657015,2.75714968056193,0.0,0.0,3.7922805519199683
FT181,6.079755040013995,6.232873844147612,4.554305968249407,0.0,3.801176811426123,3.606236080102363,4.646241360923219,4.003408563610343
FT184,7.405682081417821,4.107398557512641,5.010703490664717,4.466179418608527,3.2477508413952076,4.714114388196614,4.335106359390509,4.699386727046156
FT189,6.850157266146631,4.4148196914195825,5.1981757475917405,4.7370153665878485,3.154346125968156,4.927821488352482,4.007257251050016,4.772252521274938
FT217,6.219934843343835,3.5813744617982417,3.607205458388042,4.226861244510547,3.9756490985224646,6.318158586814866,0.0,4.572717037594832
FT220,6.1737194211193485,0.0,4.355815766864676,4.11800017185241,3.5364287977837776,4.336434413572295,4.3812396971668175,4.409126770832033
FT227,6.749850992188184,3.1083462547403937,4.0067360467111115,0.0,0.0,2.953903607241477,0.0,0.0
FT253,6.324268559477074,0.0,3.5369786905913774,0.0,2.9304907511070044,3.470349997324467,0.0,0.0
FT254,6.67862478258134,3.3161397341138232,4.483774038707937,0.0,0.0,3.3886843660274852,0.0,3.4389835481072755
FT270,6.59886712021757,0.0,3.25150271839621,0.0,0.0,2.9071725889824522,0.0,0.0
FT273,7.101822500893139,0.0,3.1204949097496204,0.0,0.0,3.567738509027382,0.0,0.0
FT275,7.014014701196512,4.025446016652836,4.985040207662323,4.4018661133352,0.0,4.2442898686901,5.436781023272217,4.717498624601776
FT278,6.202764405699116,0.0,4.520898382588157,0.0,0.0,0.0,4.975722102550948,5.229701520044881
FT281,6.422612528234081,0.0,5.751757776866509,5.441589165988326,5.46521366662439,5.8113351674533735,5.807127085512099,5.763862560307343
FT285,6.711952720762346,0.0,0.0,0.0,0.0,0.0,3.8277216651182777,3.9051055962639456
FT286,6.150930752048378,4.648187075737577,4.987830488828985,4.379267849561186,0.0,4.555490942425577,5.223924059615384,5.0797421190555685
FT290,7.531840723627148,4.039089229522002,6.308663038570561,4.739045018149707,3.637451496963447,4.390973310839657,5.184016447253277,6.275247273714606
FT291,6.923920833497621,0.0,3.538154123230383,3.6304532319630916,0.0,3.501161484723412,0.0,0.0
