"","BNC","Bog_T0","III_Bog_N1","III_Bog_N2","II_Bog_N1","II_Bog_N2","I_Bog_N1","I_Bog_N2"
"FT0001",4433135.81393832,1796390.8795013,2287391.2621875,1650813.40711862,1392352.97898986,1485242.27584915,1524916.41794434,1453183.25922149
"FT0002",1321113.35100663,506652.539716447,681597.405198646,0,298200.146796123,383164.141470336,326482.097895159,351700.809208232
"FT0003",685585.558411333,252519.861928932,258163.857206218,199310.617323537,168532.65357978,175712.671014547,195887.536623094,183957.043787535
"FT0004",944365.169208866,62148.8920017059,52580.3534822717,57493.6374024873,19596.4135993808,40850.1221451328,240987.121668278,163566.094049282
"FT0005",437749.992641316,15137.4295979317,56926.4023216529,11753.1881977433,0,0,5033.62004370977,19341.1177711707
"FT0006",91390.4722851696,128009.672543538,85953.151011841,67902.0500434419,89281.1006294932,108427.437656802,66242.7646854099,72644.8952674781
"FT0007",377529.892511721,163917.745756225,222160.2609375,128474.625523153,194165.878030579,181988.167829483,116455.761167969,213907.641146604
"FT0008",919960.144816196,58868.436718996,122053.004152076,128529.914538353,189446.991420084,279379.080763224,248597.661533212,269333.957096033
"FT0009",136740.045006943,58230.6423017018,81415.5513306396,103836.706220971,84904.2064093886,107529.675880084,97876.9704449342,100118.575331113
"FT0010",534701.685397027,237565.242331765,355857.226958984,251135.650676491,317449.087781573,400341.860048078,328280.818039769,346370.431446778
"FT0011",231742.813701923,0,0,735.377929686849,0,0,0,0
"FT0012",224914.050231436,96775.2251742131,205915.877057292,217939.749794902,243906.286363526,166172.910598145,295324.7348676,195859.348883789
"FT0013",2149.06266186373,5520.39827778871,102205.692549242,141132.33744075,132946.751629991,106347.28527904,120036.519978934,202338.328901856
"FT0014",142388.283747195,375804.148874324,328123.292393972,256810.417639648,372825.493510046,264656.786539841,241755.725869953,248374.379033204
"FT0015",0,366619.733906248,92435.5826608962,70875.3436823496,117884.062649871,85984.4481314232,24258.8170345055,38145.4727650491
"FT0016",397834.879512846,6151.62280323717,76514.878480428,63866.4696189731,32967.8148521995,59630.4696515922,66441.5600529818,79348.946179272
"FT0017",146027.031240235,0,2491.41014715091,1505.81418809832,0,0,0,0
"FT0018",695128.746963942,326785.967587365,0,0,0,0,0,0
"FT0019",210474.551679036,95251.9191579977,0,0,0,0,2491.83309652033,0
"FT0020",283321.839689009,460332.479325255,286332.374484489,260808.798807291,298434.840489679,249004.105860943,220079.077908654,241979.336433291
"FT0021",402564.679166173,140665.227370922,160497.577376442,160127.394560976,161074.836031786,196660.181610577,262012.435094448,195224.298962358
"FT0022",544546.069363801,34389.3404120797,96362.3454197954,36504.0172453562,29524.1959672676,48015.1138663724,47590.5758201173,61169.711782861
"FT0023",4835868.65960742,149520.666364307,5621.7380059373,29118.997277764,20215.9303313098,123387.395401778,42332.856413675,52795.8416940678
"FT0024",1860259.15696345,59260.9133711279,196316.797838095,77412.8972042445,59638.0116337185,119885.992912469,241668.364357304,219065.998012698
"FT0025",528592.138899382,0,3888.6732392083,0,0,0,0,0
"FT0026",180671.003989957,1432.62770362897,13294.5208811965,1811.6392033149,0,3970.45913072469,17752.4009734587,30503.7287994806
"FT0027",410872.577151444,363451.890020846,290794.413266603,174918.373048502,217507.394722713,278751.560516826,353029.670592992,426490.774431561
"FT0028",1895393.95620955,777742.976062501,632000.212091536,464168.391065831,380891.943663226,380339.920289885,420851.935564576,247796.190293163
"FT0029",282506.75283654,21985.8566499455,6349.63706025118,6008.07980176027,34093.3001576084,54865.4609197838,62793.1306281333,64126.2080306954
"FT0030",750484.031561376,101603.200235233,310842.406471349,240932.863258835,141118.315234948,144779.228381068,135326.202575832,159177.589084203
"FT0031",0,386681.121462887,142383.501550324,162362.896947084,543622.676186897,338455.437451167,111602.231596213,171416.101573447
"FT0032",0,166299.342759109,141229.190037656,148729.001944824,341386.647522416,332889.965800292,108260.303367405,156932.813133796
"FT0033",1886156.51408654,1310906.16801611,1622178.91596985,900132.0318704,740798.319060407,881854.476666572,3052527.5689077,2833278.2511328
"FT0034",290576.07379883,233461.737104007,209215.080509037,178011.694978719,288552.083500284,196849.295846209,119758.431483662,191508.594002444
"FT0035",416185.301876395,120879.626522568,142633.346125134,131920.561698521,69692.2318976403,72478.6646717254,121683.354588235,91305.0267857448
"FT0036",0,203179.093568871,151952.821803838,106843.428925321,109295.712098854,108426.928499123,113251.51134948,141246.401982758
"FT0037",167774.937532553,142813.892635073,162817.102368686,86910.7778915314,74311.6755825925,92910.7517734291,380826.735935647,348786.548830348
"FT0038",82104.1008030422,63261.3612334602,438253.710514648,688480.724522904,799998.092744153,491927.41975122,1025584.68357758,718004.17552717
"FT0039",0,919191.663917416,1475550.30784705,1531781.52356409,1104196.1785669,1038873.42701714,855000.693471568,1538224.73622136
"FT0040",157672.58339977,77837.5821334268,88328.6467088002,69630.7785956348,79213.321204537,94325.0975601626,114198.940535691,127019.183058117
"FT0041",2102239.4574707,3315.6160391165,28336.8209550235,4736.54305084681,489.531406879998,12962.1633972768,3214.55296589974,12849.0625904562
"FT0042",359464.412623478,0,3458.55947705358,0,0,0,0,0
"FT0043",682725.367926977,21865.5917516952,93807.3124377361,41140.2871113475,29589.1578108671,50605.4490228433,124071.530015844,185948.259658571
"FT0044",408147.842738341,1616.93664918587,15388.0916288719,1339.52593438247,0,2446.99144677721,1431.59659986591,4371.2410539479
"FT0045",789898.154115722,0,0,0,0,0,0,0
"FT0046",107905.532886959,1037522.97464728,0,0,0,0,0,0
"FT0047",748391.922714839,0,0,0,0,0,0,0
"FT0048",0,328430.719160156,0,0,0,0,0,0
"FT0049",180424.686360081,11275.2222876797,11479.6296318814,11167.6651917427,14537.4080365446,14308.8571255495,11207.8254929477,21577.4414265216
"FT0050",1819943.35004207,131438.606069689,353565.408955073,237517.248335335,134796.123986887,138395.607366071,160464.84817586,206727.530705915
"FT0051",439151.537858585,32243.4971956988,64350.9508791371,41886.8250600797,35186.4733440865,32249.8153957416,52692.9465362553,53598.0173322919
"FT0052",264089.920436196,21069.7170452947,67003.297656762,40974.1256368372,15795.2329339106,30739.5600962948,23034.2311338555,45501.0964188565
"FT0053",808794.348247908,0,0,0,0,0,0,0
"FT0054",172859.081894532,147073.866589913,295402.576377971,132753.721450953,164537.358999536,129167.382969395,98728.9213828124,136907.743812815
"FT0055",5630777.05757457,495782.857313633,1461440.49351887,1066706.2173678,1160586.40050455,1299849.76912109,1249591.04122219,1304709.43697916
"FT0056",268051.185696204,0,0,0,0,0,0,2081.46723583832
"FT0057",179889.83990625,0,0,0,0,0,0,0
"FT0058",1048005.53311612,100761.919179216,256504.787890904,167691.998106447,192295.96603338,234796.730915714,222902.93806108,255571.026572638
"FT0059",0,218472.426843621,1262438.81524841,837702.570256345,1021601.62641211,609177.650368248,332453.295282118,265004.003225506
"FT0060",51304.6007185315,482023.963778923,201022.714497973,171027.848963027,274762.056521484,231908.522679077,101164.542911769,100866.51564275
"FT0061",99043.9967761586,396089.017723042,185604.42371477,126389.556593268,92324.5638787106,95490.9713217979,122834.415583102,106066.505037228
"FT0062",219698.810295412,21827.6572768307,31185.4564801893,17556.0878551293,11698.7861534444,20241.3945563788,15485.7135948296,24513.755854857
"FT0063",67171.384469492,454598.375458151,0,0,0,6245.03909657734,0,0
"FT0064",275467.030183363,0,2916.02310752715,0,0,0,5178.24395764527,0
"FT0065",12325573.0464079,725717.107341794,764915.280617681,1000978.08271248,5459.71825477534,943340.511024249,2730.24776131647,0
"FT0066",362090.247187499,0,0,0,3264.07221775503,0,0,0
"FT0067",3193145.45664237,4330.41769246124,0,2157.96461354349,0,0,0,1907.38790192667
"FT0068",408907.918611782,0,0,0,0,0,0,0
"FT0069",2526066.77539714,2417.77023909267,1719235.64538163,524890.188584889,376810.290484564,591544.436539581,712260.023686734,711979.935749719
