Features,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Litter,peat,peat_litter,ms_level,BNC,Bog_T0,III_Bog_N1,III_Bog_N2,II_Bog_N1,II_Bog_N2,I_Bog_N1,I_Bog_N2
FT0001,221.045600138699,221.045598176212,221.045601748536,1090.63173009443,1089.0225532742,1091.77970194718,8,1,1,6,1,4433135.81393832,1796390.8795013,2287391.2621875,1650813.40711862,1392352.97898986,1485242.27584915,1524916.41794434,1453183.25922149
FT0002,221.549829987948,221.549815687376,221.549838296282,1090.90180816807,1088.58816328454,1091.77970194718,7,1,1,5,1,1321113.35100663,506652.539716447,681597.405198646,0,298200.146796123,383164.141470336,326482.097895159,351700.809208232
FT0003,222.049351872904,222.048960386536,222.049743359272,1089.7449857263,1088.58816328454,1090.90180816807,2,1,0,1,1,685585.558411333,252519.861928932,258163.857206218,199310.617323537,168532.65357978,175712.671014547,195887.536623094,183957.043787535
FT0004,223.061244377478,223.061244377478,223.061244377478,712.079589023027,712.079589023027,712.079589023027,1,1,0,0,1,944365.169208866,62148.8920017059,52580.3534822717,57493.6374024873,19596.4135993808,40850.1221451328,240987.121668278,163566.094049282
FT0005,224.092888575486,224.092888575486,224.092888575486,1556.70774553662,1556.70774553662,1556.70774553662,1,1,0,0,1,437749.992641316,15137.4295979317,56926.4023216529,11753.1881977433,0,0,5033.62004370977,19341.1177711707
FT0006,225.040511254294,225.040511254294,225.040511254294,849.26541003471,849.26541003471,849.26541003471,1,0,1,0,1,91390.4722851696,128009.672543538,85953.151011841,67902.0500434419,89281.1006294932,108427.437656802,66242.7646854099,72644.8952674781
FT0007,225.113284832232,225.113282576818,225.113286369449,1746.91363234514,1744.29518868979,1751.60317918918,4,1,1,2,1,377529.892511721,163917.745756225,222160.2609375,128474.625523153,194165.878030579,181988.167829483,116455.761167969,213907.641146604
FT0008,227.128931372416,227.128930111233,227.128934736592,2126.84543207648,2126.40420661436,2163.22260154163,5,1,0,3,1,919960.144816196,58868.436718996,122053.004152076,128529.914538353,189446.991420084,279379.080763224,248597.661533212,269333.957096033
FT0009,227.201702816643,227.201702816643,227.201702816643,2963.6162575704,2963.6162575704,2963.6162575704,1,1,0,0,1,136740.045006943,58230.6423017018,81415.5513306396,103836.706220971,84904.2064093886,107529.675880084,97876.9704449342,100118.575331113
FT0010,229.144586678639,229.144583987573,229.144596800312,2229.99421766336,2228.14035130292,2232.45205634357,7,0,1,6,1,534701.685397027,237565.242331765,355857.226958984,251135.650676491,317449.087781573,400341.860048078,328280.818039769,346370.431446778
